Name,Residual_Charging_Band,Import_Super_Red_charge,Import_fixed_charge,Export_Super_Red_charge,Export_fixed_charge,Tariff_Period
NR_BYF,4,0.47,24926.31,0,0,2023/2024
NR_CAN,2,0,6773.27,0,0,2023/2024
NR_CRO,4,0.03,24571.85,0,0,2023/2024
NR_DOR,2,3.98,6773.27,0,0,2023/2024
NR_EAS,2,3.02,6773.27,0,0,2023/2024
NR_FOK,2,0.86,6773.27,0,0,2023/2024
NR_HAS,2,0,10469,0,0,2023/2024
NR_LEA,4,3.35,24571.85,0,0,2023/2024
NR_MAI,3,7.71,10888.51,0,0,2023/2024
NR_NOR,4,0,25280.77,0,0,2023/2024
NR_QUE,1,0,1041.04,0,0,2023/2024
NR_SIT,3,0.01,10888.51,0,0,2023/2024
NR_THA,2,6.11,6773.27,0,0,2023/2024
NR_TUN,3,8.96,10888.51,0,0,2023/2024
PFIZER,2,0.09,8416.55,0,0,2023/2024
SENTIV,4,0.03,101399.49,0,0,2023/2024
THAMEM,4,0,28198.88,0,3251.96,2023/2024
THAMES,2,0,9387.38,0,1949.51,2023/2024
TWHK66,2,6.28,6277.38,-5.42,34.08,2023/2024
ANMSTR,0,6.11,38.56,-4.64,1082.16,2023/2024
ASHBYS,0,0.48,10.88,0,1109.4,2023/2024
ASHGEN,1,0,772.45,0,3113.43,2023/2024
AYLESF,4,0,24217.39,0,0,2023/2024
BEDERF,0,0.03,382.75,-0.35,2719.51,2023/2024
BESAYL,0,0,390.29,0,390.29,2023/2024
BNTLEY,0,7.35,9.79,0,978.63,2023/2024
BNTLY2,0,7.35,7.46,0,626.5,2023/2024
BOBBNG,0,0.01,5.31,0,1061.94,2023/2024
BRAMBS,0,0.2,390.29,-0.27,390.29,2023/2024
BRELLE,1,0,706.83,0,814.09,2023/2024
BRETSH,0,0,25.41,0,0,2023/2024
BRKHST,2,1.33,7903.2,-2.76,5463.27,2023/2024
BTBRKS,1,2.78,723.71,0,1223.33,2023/2024
CAPELG,1,4.54,669.64,0,793.95,2023/2024
CLYHLL,0,1.14,7.37,0,737.38,2023/2024
CRYENG,0,0,126.63,0,337.67,2023/2024
DARENT,1,0.09,814.58,-0.13,2247.14,2023/2024
DSCPRK,3,0.09,11203.97,-0.13,1372.27,2023/2024
FORDSF,0,0.29,12.81,0,731.95,2023/2024
FRWOOD,0,0,20.22,0,1011.19,2023/2024
GLASSN,0,0,433.79,0,433.79,2023/2024
GROVEH,4,0,24327.79,0,0,2023/2024
GUSTON,0,0.13,17.11,0,1710.89,2023/2024
HADLOW,0,9.72,2.06,0,778.53,2023/2024
HANSTA,0,0,2.04,0,0,2023/2024
HLLMBY,0,0,10.63,0,856.94,2023/2024
HORAMS,0,0.09,14.88,0,1933.86,2023/2024
KENTI2,1,0,673.71,0,349.41,2023/2024
KENTIS,1,0,676.37,0,0,2023/2024
KM3CHP,2,0,6358.48,0,2787,2023/2024
KNTSFM,0,0.51,834.04,-0.87,878.2,2023/2024
KNWLTN,0,0,15.3,0,1446.11,2023/2024
LBOURN,0,0,8.88,0,832.62,2023/2024
LCHEYI,0,0.02,6.63,0,860.94,2023/2024
LENHAM,0,0.69,14.47,0,1446.94,2023/2024
LGHTON,0,4.38,12.41,0,868.51,2023/2024
MARSHB,0,0.09,22.62,0,922.8,2023/2024
MLEHLL,0,0,2.81,0,351.65,2023/2024
MLMAYN,0,0.32,1.55,0,743.21,2023/2024
MVVRID,0,0,1134.96,0,5969.89,2023/2024
NEWHVN,0,1.39,44.31,-1.58,310.15,2023/2024
NEWRID,1,0.03,672.63,0,1586.44,2023/2024
OAKLND,0,1.76,6.46,0,709.63,2023/2024
OLDRSF,0,0,4.67,0,933.58,2023/2024
ORCHRD,0,0.01,5.86,0,1054.23,2023/2024
PADWSF,0,9.75,4.9,0,775.69,2023/2024
POSHWF,0,0,6.95,0,347.51,2023/2024
PRIORS,0,0.3,4.87,0,732.72,2023/2024
PSHLEY,0,0,13.23,0,1322.77,2023/2024
SELLSF,0,0.15,4.19,0,812.23,2023/2024
SEVIND,0,2.07,1.53,-2.07,122.03,2023/2024
SHEPHM,0,4.45,51.82,0,1943.21,2023/2024
SHORHM,2,0.01,6373.36,0,0,2023/2024
SOLEES,0,0.03,42.97,0,1804.86,2023/2024
STAREN,1,0.31,2135.87,0,0,2023/2024
SYCAMR,0,1.59,65.16,0,2345.81,2023/2024
THAEAR,4,0,27489.9,-1.88,3626.97,2023/2024
THANET,1,0.02,684.98,0,1718.83,2023/2024
THORNE,0,0.35,22.07,0,2295.73,2023/2024
TONGSF,1,0.01,702.23,0,2610.32,2023/2024
WDLNDS,0,0,24.81,0,2977.4,2023/2024
WIDHFM,0,1.58,19.37,0,1549.54,2023/2024
WLBEES,0,1.99,3.51,0,350.95,2023/2024
WRGALL,0,0,817.77,0,0,2023/2024
WSTWDX,0,0.35,14.47,0,1446.94,2023/2024
B&RLTD,1,1.86,2865.31,0,0,2024/2025
BEDDIN,2,0.01,16076.25,0,0,2024/2025
BP_OIL,1,0.31,2865.31,0,0,2024/2025
CHESDC,3,0,33041.98,0,0,2024/2025
DIGREA,4,0,69548.53,0,0,2024/2025
EUROTU,4,0,220981.93,0,0,2024/2025
GAT_AF,3,0.75,39690.72,0,0,2024/2025
GAT_BF,3,0.78,36594.39,0,0,2024/2025
KNGSPN,4,0.13,66928.99,0,0,2024/2025
NP_LAB,1,1.89,3238.38,0,0,2024/2025
NR_3BR,4,0.82,68534.37,0,0,2024/2025
NR_AFD,3,1.8,36594.39,0,0,2024/2025
NR_ASH,3,0.34,36594.39,0,0,2024/2025
NR_BRI,4,0.41,68534.37,0,0,2024/2025
NR_BYF,4,0.36,68534.37,0,0,2024/2025
NR_CAN,2,0.02,16959.97,0,0,2024/2025
NR_CRO,4,0.02,67999.24,0,0,2024/2025
NR_DOR,2,4.62,16959.97,0,0,2024/2025
NR_EAS,2,1.26,16959.97,0,0,2024/2025
NR_FOK,2,1.45,16959.97,0,0,2024/2025
NR_HAS,2,0,22539.41,0,0,2024/2025
NR_LEA,4,1.29,67999.24,0,0,2024/2025
NR_MAI,3,3.54,36594.39,0,0,2024/2025
NR_NOR,4,0,69069.5,0,0,2024/2025
NR_QUE,1,0,3054.42,0,0,2024/2025
NR_SIT,3,0,36594.39,0,0,2024/2025
NR_THA,2,1.79,16959.97,0,0,2024/2025
NR_TUN,3,7.34,36594.39,0,0,2024/2025
PFIZER,2,0,19440.83,0,0,2024/2025
SENTIV,4,0.05,183985.57,0,0,2024/2025
THAMEM,4,0,73474.95,0,4909.47,2024/2025
THAMES,2,0.76,20906.49,-0.48,2943.17,2024/2025
TWHK66,2,7.43,16211.32,-8,51.46,2024/2025
ANMSTR,0,2.15,58.21,-2.15,1633.73,2024/2025
ASHBYS,0,5.14,16.42,0,1674.86,2024/2025
AYLESF,4,0.05,67518.21,0,0,2024/2025
BEDERF,0,0.2,577.83,-0.32,4105.64,2024/2025
BESAYL,0,0.05,589.22,-0.09,589.22,2024/2025
BNTLEY,0,6.29,14.77,0,1477.43,2024/2025
BNTLY2,0,6.29,11.26,0,945.82,2024/2025
BOBBNG,0,0,8.02,0,1603.2,2024/2025
BRAMBS,0,0.29,589.22,-0.6,589.22,2024/2025
BRELLE,1,0,2549.85,0,1229.03,2024/2025
BRETSH,0,0.01,38.36,0,0,2024/2025
BRKHST,2,1.52,18665.83,-4.73,8247.87,2024/2025
BTBRKS,1,0.5,2575.35,0,1846.86,2024/2025
CAPELG,0,7.59,1.47,0,1198.62,2024/2025
CLYHLL,0,1.37,11.13,0,1113.22,2024/2025
CRYENG,0,0,191.17,0,509.79,2024/2025
CWSTBS,0,0,28.81,0,28.81,2024/2025
